Level of Study,School ranking ,School Classify,Location,Subject Classify,Language instruction,GPA,TOEIC,HSK,TOCFL,Scholarship,Activitve Certificate,Study Plan,Autobiography
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full english ,7.5,570,5,3,School,no,b,b
Bacholar,Top 3150 ,National ,South,Natural sciences and technology ,full chinese,8,380,,3,School,no,b,b
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full english ,7,720,,,School,no,b,b
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full english ,8.6,650,,,School,yes,c,b
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full chinese,9,750,6,4,School,yes,b,b
Master,Top 3150 ,Private,North,Natural sciences and technology ,full english ,7.9,815,,,School,no,b,b
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full english ,8,700,,1,School,yes,c,b
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full english ,7.3,650,,,School,no,b,b
Master,Top 1120,National ,North,Socail sciences,full chinese,8.5,800,6,5,School,yes,c,b
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full english ,7.8,874,,,School,yes,b,b
Master,Top 3150 ,Private,South,Socail sciences,full english ,7.8,970,,,School,yes,b,b
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full english ,7.25,875,,,School,yes,b,b
Master,Top 1120,National ,North,Socail sciences,full chinese,9,,,6,Government,yes,b,b
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full english ,7.5,,,3,School,no,b,b
Bacholar,Top 3150 ,National ,South,Socail sciences,English and Chinese,7.8,,3,2,School,yes,b,b
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full english ,8.09,810,,,School,yes,c,c
Master,Top 3150 ,Private,North,"Business, Administration and Law ",full chinese,7,,,3,no scholarship,no,b,b
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full english ,8.63,800,,,Government,yes,b,b
Bacholar,Top 3150 ,National ,North,Socail sciences,English and Chinese,8.4,850,,5,School,yes,b,b
Bacholar,Top 2130,National ,East,"Business, Administration and Law ",full english ,8.7,850,,,School,yes,b,b
Master,Top 3150 ,National ,South,"Business, Administration and Law ",full chinese,8.25,,,5,School,yes,c,c
Bacholar,Top 3150 ,Private,South,"Business, Administration and Law ",full english ,8.4,450,,4,School,no,c,c
Master,Top 3150 ,Private,South,"Business, Administration and Law ",full english ,7.03,,5,3,School,no,b,b
Bacholar,Top 3150 ,Private,South,"Business, Administration and Law ",full english ,8,750,,,School,yes,c,c
Master,Top 1120,Private,Center,"Business, Administration and Law ",full english ,7.82,780,,4,School,no,b,c
Master,outside top 50,Private,South,"Business, Administration and Law ",full english ,7.65,790,,3,School,no,c,c
Bacholar,outside top 50,Private,South,Socail sciences,English and Chinese,7,550,,2,School,yes,b,a
Master,Top 3150 ,Private,South,"Business, Administration and Law ",full english ,8,,,4,School,no,c,c
Ph D ,Top 4,National ,South,Natural sciences and technology ,full english ,8.2,750,,3,School,yes,b,c
Master,Top 3150 ,Private,South,"Business, Administration and Law ",full chinese,7.1,605,,,School,no,b,b
Ph D ,Top 4,National ,South,"Business, Administration and Law ",English and Chinese,8,,,3,School,yes,c,c
Ph D ,Top 3150 ,Private,South,"Business, Administration and Law ",full english ,7,840,,,School,no,b,b
Master,Top 3150 ,National ,South,"Business, Administration and Law ",English and Chinese,7.5,475,,,School,no,d,d
Master,Top 3150 ,National ,South,"Business, Administration and Law ",English and Chinese,9.2,800,3,2,School,no,c,c
Ph D ,Top 3150 ,National ,South,"Business, Administration and Law ",English and Chinese,7.65,750,,,School,yes,c,b
Master,Top 3150 ,National ,South,"Business, Administration and Law ",English and Chinese,7,600,,,School,no,b,a
Bacholar,Top 3150 ,National ,South,"Business, Administration and Law ",English and Chinese,7.1,,,,no scholarship,no,a,c
Bacholar,Top 3150 ,National ,South,"Business, Administration and Law ",English and Chinese,7,,,2,no scholarship,yes,d,d
Master,Top 3150 ,National ,South,"Business, Administration and Law ",English and Chinese,8.9,640,,3,School,no,a,a
Bacholar,Top 3150 ,National ,South,"Business, Administration and Law ",English and Chinese,5.5,,,2,no scholarship,no,b,b
Ph D ,Top 1120,National ,North,Natural sciences and technology ,full english ,7.56,700,,,School,yes,a,a
Master,Top 1120,National ,North,Natural sciences and technology ,English and Chinese,7,750,,,School,yes,a,b
Master,Top 1120,National ,North,Natural sciences and technology ,English and Chinese,7.82,750,,,School,no,c,c
Master,Top 1120,National ,North,Socail sciences,English and Chinese,8,760,,,School,yes,c,c
Master,Top 4,National ,South,"Business, Administration and Law ",full english ,8.03,895,,,School,no,c,d
Master,Top 4,National ,South,"Business, Administration and Law ",full chinese,7.5,760,,,School,no,c,c
Master,Top 3150 ,Private,North,Natural sciences and technology ,English and Chinese,7.6,780,,,School,no,c,c
Master,Top 3150 ,Private,North,"Business, Administration and Law ",English and Chinese,8.5,750,,,School,yes,b,c
Master,Top 2130,Private,North,"Business, Administration and Law ",full english ,8,750,,6,School,yes,b,c
